date,max_temp,min_temp,avg_temp
2026-09-08,26.2,15.2,20.7
2026-09-09,21.2,13.2,17.2
2026-09-10,21.2,11.5,16.35
2026-09-11,25.4,14.9,20.15
2026-09-12,25.7,15.2,20.45
2026-09-13,27.1,17.5,22.3
2026-09-14,28.9,18.2,23.549999999999997
2026-09-15,32.6,17.7,25.15
